date,min,max,median,q1,q3,stdev,count
2024-05-10T00:00:00.000Z,30.8,55.9,42.4,37.79,43.8,4.538,655
2024-05-11T00:00:00.000Z,39.6,70.0,47.4,44.3,50.8,4.665,531
2024-05-12T00:00:00.000Z,15.0,53.5,34.2,28.1,39.79,9.423,578
2024-05-13T00:00:00.000Z,24.9,50.5,40.35,35.79,43.1,4.886,632
2024-05-14T00:00:00.000Z,39.0,64.0,48.0,44.6,52.3,6.032,635
2024-05-15T00:00:00.000Z,24.9,56.5,45.5,36.79,49.35,8.618,660
2024-05-16T00:00:00.000Z,30.3,63.9,46.6,43.7,49.35,5.883,621
2024-05-17T00:00:00.000Z,48.4,115.4,57.1,51.2,79.5,19.726,637
2024-05-18T00:00:00.000Z,42.3,125.6,79.4,66.59,89.7,19.128,603
2024-05-19T00:00:00.000Z,43.4,85.2,58.2,54.85,68.34,9.193,633
2024-05-20T00:00:00.000Z,39.1,96.8,51.0,46.75,54.1,11.272,636
2024-05-21T00:00:00.000Z,27.8,93.0,40.1,35.75,43.0,6.057,652
2024-05-22T00:00:00.000Z,18.9,45.9,36.6,32.0,40.04,6.294,661
2024-05-23T00:00:00.000Z,30.2,49.4,43.4,40.9,45.4,4.28,621
2024-05-24T00:00:00.000Z,32.5,66.8,47.4,40.7,48.9,5.193,648
2024-05-25T00:00:00.000Z,30.7,51.6,43.65,38.85,47.4,5.467,652
2024-05-26T00:00:00.000Z,40.0,52.5,45.1,43.5,46.1,1.961,649
2024-05-27T00:00:00.000Z,10.5,48.2,19.5,14.6,37.2,12.622,636
2024-05-28T00:00:00.000Z,15.2,58.0,38.9,36.8,41.9,8.01,638
2024-05-29T00:00:00.000Z,40.0,59.7,47.3,43.7,49.8,3.758,644
2024-05-30T00:00:00.000Z,20.7,79.6,44.85,28.8,46.8,11.188,658
2024-05-31T00:00:00.000Z,20.3,49.1,37.35,28.2,41.5,7.641,652
2024-06-01T00:00:00.000Z,29.1,48.9,41.7,38.9,44.5,4.195,650
2024-06-02T00:00:00.000Z,38.7,49.5,42.1,40.5,44.0,2.51,662
2024-06-03T00:00:00.000Z,37.3,52.7,44.9,40.5,48.75,4.285,628
2024-06-04T00:00:00.000Z,13.2,53.6,31.2,26.1,39.0,10.449,638
2024-06-05T00:00:00.000Z,14.7,48.0,39.3,31.9,45.3,9.346,650
2024-06-06T00:00:00.000Z,15.9,38.7,30.8,27.6,32.5,4.467,627
2024-06-07T00:00:00.000Z,26.2,401.5,34.6,31.1,38.2,36.161,638
2024-06-08T00:00:00.000Z,26.4,54.5,42.8,38.0,49.6,7.525,581
2024-06-09T00:00:00.000Z,38.9,50.6,42.7,40.3,44.0,3.124,218
2024-06-11T00:00:00.000Z,50.9,68.9,58.5,55.35,61.8,4.14,397
2024-06-12T00:00:00.000Z,46.7,79.9,52.5,49.7,54.1,3.641,643
2024-06-13T00:00:00.000Z,45.0,81.1,58.1,53.3,60.0,4.808,468
2024-06-14T00:00:00.000Z,54.3,71.3,61.1,59.0,64.4,3.373,652
2024-06-15T00:00:00.000Z,29.5,61.0,52.0,49.3,54.2,7.122,581
2024-06-16T00:00:00.000Z,25.6,57.1,48.9,41.0,53.0,8.924,661
2024-06-17T00:00:00.000Z,29.3,84.5,44.7,38.4,50.9,7.593,605
2024-06-18T00:00:00.000Z,21.0,65.5,45.3,36.2,50.6,10.57,627
2024-06-19T00:00:00.000Z,6.4,116.6,40.45,18.4,48.1,16.668,628
2024-06-20T00:00:00.000Z,13.8,48.8,20.7,17.5,29.9,8.919,626
2024-06-21T00:00:00.000Z,11.2,33.1,23.0,20.0,28.3,5.109,621
2024-06-22T00:00:00.000Z,25.9,38.3,31.5,29.9,34.1,2.871,635
2024-06-23T00:00:00.000Z,23.1,42.6,30.6,27.6,33.5,3.78,641
2024-06-24T00:00:00.000Z,17.5,41.0,33.4,24.3,38.6,7.378,603
2024-06-25T00:00:00.000Z,29.3,46.6,37.7,35.7,40.2,3.697,606
